"A00","Colera"
"H82","Sindromi vertiginose in malattie classificate altrove"
"H83","Altre malattie dell'orecchio interno"
"H90","Sordita' da difetto di trasmissione e/o neurosensoriale"
"H91","Altra perdita uditiva"
"H92","Otalgia e secrezione auricolare"
"H93","Altri disturbi dell'orecchio non classificati altrove"
"H94","Altri disturbi dell'orecchio in malattie classificate altrove"
"H95","Disturbi iatrogeni dell'orecchio e dell'apofisi mastoide non classificati altrove"
"I00","Reumatismo articolare acuto senza menzione di interessamento cardiaco"
"I01","Reumatismo articolare acuto con interessamento cardiaco"
"I02","Corea reumatica"
"I05","Malattie reumatiche della valvola mitralica"
"I06","Malattie reumatiche della valvola aortica"
"I07","Malattie reumatiche della valvola tricuspide"
"I08","Malattie valvolari multiple"
"I09","Altre cardiopatie reumatiche"
"I10","Ipertensione essenziale (primitiva)"
"I11","Cardiopatia ipertensiva"
"I12","Malattia renale ipertensiva"
"I13","Malattia ipertensiva cardiaca e renale"
"I15","Ipertensione secondaria"
"I20","Angina pectoris"
"I21","Infarto miocardico acuto"
"I22","Infarto miocardico recidivante"
"I23","Alcune complicanze in atto susseguenti ad infarto miocardico acuto"
"I24","Altre cardiopatie ischemiche acute"
"I25","Cardiopatia ischemica cronica"
"I26","Embolia polmonare"
"I27","Altre forme di cuore polmonare"
"I28","Altre malattie di vasi polmonari"
"I30","Pericardite acuta"
"I31","Altre malattie del pericardio"
"I32","Pericardite in malattie classificate altrove"
"I33","Endocardite acuta e subacuta"
"I34","Disturbi non reumatici della valvola mitralica"
"I35","Disturbi non reumatici della valvola aortica"
"I36","Disturbi non reumatici della (valvola) tricuspide"
"I37","Disturbi della (valvola) polmonare"
"I38","Endocardite, valvola non specificata"
"I39","Endocardite e valvulopatie cardiache in malattie classificate altrove"
"I40","Miocardite acuta"
"I41","Miocardite in malattie classificate altrove"
"I42","Cardiomiopatia"
"I43","Cardiomiopatia in malattie classificate altrove"
"I44","Blocco atrioventricolare e blocco di branca sinistra"
"I45","Altri disturbi di conduzione"
"I46","Arresto cardiaco"
"I47","Tachicardia parossistica"
"I48","Fibrillazione e flutter atriali"
"I49","Altre aritmie cardiache"
"I50","Insufficienza cardiaca"
"I51","Complicanze di cardiopatie e malattie cardiache mal definite"
"I52","Altri disturbi cardiaci in malattie classificate altrove"
"I60","Emorragia subaracnoidea"
"I61","Emorragia intracerebrale"
"I62","Altre emorragie intracraniche non traumatiche"
"I63","Infarto cerebrale"
"I64","Accidente cerebrovascolare non specificato se da emorragia o da infarto"
"I65","Occlusione e stenosi di arterie precerebrali, senza esiti in infarto cerebrale"
"I66","Occlusione e stenosi di arterie cerebrali, senza esiti in infarto cerebrale"
"I67","Altre malattie cerebrovascolari"
"I68","Disturbi cerebrovascolari in malattie classificate altrove"
"I69","Sequele di malattia cerebrovascolare"
"I70","Aterosclerosi"
"I71","Aneurisma e dissezione dell'aorta"
"I72","Altro aneurisma"
"I73","Altre malattie vascolari periferiche"
"I74","Embolia e trombosi arteriose"
"I77","Altri disturbi di arterie e arteriole"
"I78","Malattie dei capillari"
"I79","Disturbi delle arterie, delle arteriole e dei capillari in malattie classificate altrove"
"I80","Flebite e tromboflebite"
"I81","Trombosi della vena porta"
"I82","Altre forme di embolia e trombosi venose"
"I83","Varici (venose) degli arti inferiori"
"I84","Emorroidi"
"I85","Varici esofagee"
"I86","Varici (venose) di altre sedi"
"I87","Altri disturbi delle vene"
"I88","Linfadenite non specifica"
"I89","Altri disturbi non infettivi dei vasi linfatici e dei linfonodi"
"I95","Ipotensione"
"I97","Disturbi del sistema circolatorio successivi a procedure diagnostiche o terapeutiche, non classificati altrove"
"I98","Altri disturbi del sistema circolatorio in malattie classificate altrove"
"I99","Altri e non specificati disturbi del sistema circolatorio"
"J00","Rinofaringite acuta (raffreddore comune)"
"J01","Sinusite acuta"
"J02","Faringite acuta"
"J03","Tonsillite acuta"
"J04","Laringite e tracheite acute"
"J05","Laringite ostruttiva acuta (croup) e epiglottite"
"J06","Infezioni acute di sedi multiple e non specificate delle alte vie respiratorie"
"J10","Influenza, virus dell’influenza identificato"
"J11","Influenza, virus non identificato"
"J12","Polmonite virale non classificata altrove"
"J13","Polmonite da Streptococcus pneumoniae"
"J14","Polmonite da Haemophilus influenzae"
"J15","Polmonite batterica non classificata altrove"
"J16","Polmonite da altri microorganismi infettivi non classificata altrove"
"J17","Polmonite in malattie classificate altrove"
"J18","Polmonite da microorganismo non specificato"
"J20","Bronchite acuta"
"J21","Bronchiolite acuta"
"J22","Infezione acuta delle basse vie respiratorie non specificata"
"J30","Rinite allergica e vasomotoria"
"J31","Rinite, rinofaringite e faringite croniche"
"J32","Sinusite cronica"
"J33","Polipo nasale"
"J34","Altri disturbi del naso e dei seni paranasali"
"J35","Malattie croniche delle tonsille e delle adenoidi"
"J36","Ascesso peritonsillare"
"J37","Laringite e laringotracheite croniche"
"J38","Malattie delle corde vocali e della laringe non classificate altrove"
"J39","Altre malattie delle alte vie respiratorie"
"J40","Bronchite non specificata come acuta o cronica"
"J41","Bronchite cronica semplice e mucopurulenta"
"J42","Bronchite cronica non specificata"
"J43","Enfisema"
"J44","Altre pneumopatie ostruttive croniche"
"J45","Asma"
"J46","Stato di male asmatico"
"J47","Bronchiolectasia"
"J60","Pneumoconiosi dei lavoratori del carbone"
"J61","Pneumoconiosi da asbesto (amianto) ed altre fibre minerali"
"J62","Pneumoconiosi da polveri contenenti silice"
"J63","Pneumoconiosi da altre polveri inorganiche"
"J64","Pneumoconiosi non specificata"
"J65","Pneumoconiosi associata a tubercolosi"
"J66","Malattie delle vie aeree causate da polveri organiche specifiche"
"J67","Polmonite da ipersensibilita' a polveri organiche"
"J68","Condizioni morbose respiratorie da inalazione di sostanze chimiche, gas, fumi e "
"J69","Polmoniti da sostanze solide o liquide"
"J70","Condizioni morbose respiratorie da altri agenti esterni"
"J80","Sindrome di sofferenza (distress) respiratoria(o) dell’adulto (ARDS)"
"J81","Edema polmonare"
"J82","Eosinofilia polmonare non classificata altrove"
"J84","Altre pneumopatie interstiziali"
"J85","Ascesso del polmone e del mediastino"
"J86","Piotorace"
"J90","Versamento pleurico non classificato altrove"
"J91","Versamento pleurico in condizioni morbose classificate altrove"
"J92","Placca pleurica"
"J93","Pneumotorace"
"J94","Altre condizioni morbose della pleura"
"J95","Disturbi respiratori iatrogeni non classificati altrove"
"J96","Insufficienza respiratoria non classificata altrove"
"J98","Altri disturbi respiratori"
"J99","Disturbi respiratori in malattie classificate altrove"
"K00","Disturbi dello sviluppo e dell’eruzione dei denti"
"K01","Denti inclusi ed ritenuti"
"K02","Carie dentaria"
"K03","Altre malattie dei tessuti duri dei denti"
"K04","Malattie della polpa e dei tessuti periapicali"
"K05","Gengiviti e periodontopatie"
"K06","Altri disturbi della gengiva e della cresta alveolare edentula"
"K07","Anomalie odontofacciali (compresa la malocclusione)"
"K08","Altri disturbi dei denti e delle loro strutture di sostegno"
"K09","Cisti della regione orale non classificate altrove"
"K10","Altre malattie dei mascellari"
"K11","Malattie delle ghiandole salivari"
"K12","Stomatiti e lesioni correlate"
"K13","Altre malattie delle labbra e della mucosa orale"
"K14","Malattie della lingua"
"K20","Esofagite"
"K21","Malattia da reflusso gastroesofageo"
"K22","Altre malattie dell'esofago"
"K23","Disturbi dell'esofago in malattie classificate altrove"
"K25","Ulcera gastrica"
"K26","Ulcera duodenale"
"K27","Ulcera peptica di sede non specificata"
"K28","Ulcera gastrodigiunale"
"K29","Gastrite e duodenite"
"K30","Dispepsia"
"K31","Altre malattie dello stomaco e del duodeno"
"K35","Appendicite acuta"
"K36","Altre forme di appendicite"
"K37","Appendicite non specificata"
"K38","Altre malattie dell'appendice"
"K40","Ernia inguinale"
"K41","Ernia femorale"
"K42","Ernia ombelicale"
"K43","Ernia addominale"
"K44","Ernia diaframmatica"
"K45","Altre ernie addominali"
"K46","Ernia addominale non specificata"
"K50","Morbo di Crohn (enterite regionale)"
"K51","Colite ulcerosa"
"K52","Altre gastroenteriti e coliti non infettive"
"K55","Disturbi vascolari dell'intestino"
"K56","Ileo paralitico ed ostruzione intestinale senza ernia"
"K57","Malattia diverticolare dell'intestino"
"K58","Sindrome dell'intestino irritabile"
"K59","Altri disturbi intestinali di tipo funzionale"
"K60","Ragade e fistola delle regioni anale e rettale"
"K61","Ascesso delle regioni anale e rettale"
"K62","Altre malattie dell'ano e del retto"
"K63","Altre malattie dell'intestino"
"K65","Peritonite"
"K66","Altri disturbi del peritoneo"
"K67","Disturbi del peritoneo in malattie infettive classificate altrove"
"K70","Epatopatia alcolica"
"K71","Epatopatia tossica"
"K72","Insufficienza epatica non classificata altrove"
"K73","Epatite cronica non classificata altrove"
"K74","Fibrosi e cirrosi epatica"
"K75","Altre malattie infiammatorie del fegato"
"K76","Altre malattie del fegato"
"K77","Disturbi epatici in malattie classificate altrove"
"K80","Colelitiasi"
"K81","Colecistite"
"K82","Altre malattie della colecisti"
"K83","Altre malattie delle vie biliari"
"K85","Pancreatite acuta"
"K86","Altre malattie del pancreas"
"K87","Disturbi della colecisti, delle vie biliari e del pancreas in malattie classificate altrove"
"K90","Malassorbimento intestinale"
"K91","Disturbi iatrogeni dell'apparato digerente non classificati altrove"
"K92","Altre malattie dell'apparato digerente"
"K93","Disturbi di altri organi dell'apparato digerente in malattie classificate altrove"
"L00","Dermatite esfoliativa infantile (stafilococcica)"
"L01","Impetigine"
"L02","Ascesso cutaneo, foruncolo e favo"
"L03","Cellulite"
"L04","Linfadenite acuta"
"L05","Cisti pilonidale"
"L08","Altre infezioni locali della cute e del tessuto sottocutaneo"
"L10","Pemfigo"
"L11","Altri disturbi acantolitici"
"L12","Pemfigoide"
"L13","Altre malattie bollose"
"L14","Malattie bollose in malattie classificate altrove"
"L20","Dermatite atopica"
"L21","Dermatite seborroica"
"L22","Dermatite da pannolino"
"L23","Dermatite allergica da contatto"
"L24","Dermatite irritativa da contatto"
"L25","Dermatite da contatto non specificata"
"L26","Dermatite esfoliativa"
"L27","Dermatite da assunzione interna (orale, enterica o parenterale) di sostanze"
"L28","Lichen simplex chronicus e prurigo"
"L29","Prurito"
"L30","Altre dermatiti"
"L40","Psoriasi"
"L41","Parapsoriasi"
"L42","Pitiriasi rosea"
"L43","Lichen planus"
"L44","Altri disturbi papulosquamosi"
"L45","Disturbi papulosquamosi in malattie classificate altrove"
"L50","Orticaria"
"L51","Eritema polimorfo"
"L52","Eritema nodoso"
"L53","Altre condizioni morbose eritematose"
"L54","Eritema in malattie classificate altrove"
"L55","Ustione solare"
"L56","Altre alterazioni acute della cute da radiazioni ultraviolette"
"L57","Alterazioni cutanee da esposizione cronica a radiazioni non ionizzanti"
"L58","Radiodermite"
"L59","Altri disturbi specificati della cute e del tessuto sottocutaneo da radiazioni"
"L60","Disturbi delle unghie"
"L62","Disturbi delle unghie in malattie classificate altrove"
"L63","Alopecia areata"
"L64","Alopecia androgenica"
"L65","Altra forma di perdita di capelli o peli non cicatriziale"
"L66","Alopecia cicatriziale (perdita di capelli o peli cicatriziale)"
"L67","Anormalita' del colore e del fusto dei capelli o dei peli"
"L68","Ipertricosi"
"L70","Acne"
"L71","Rosacea"
"L72","Cisti follicolari della cute e del tessuto sottocutaneo"
"L73","Altri disturbi del follicolo pilifero"
"L74","Disturbi delle ghiandole sudoripare eccrine"
"L75","Disturbi delle ghiandole sudoripare apocrine"
"L80","Vitiligine"
"L81","Altri disturbi di pigmentazione"
"L82","Cheratosi seborroica"
"L83","Acanthosis nigricans"
"L84","Calli e callosita'"
"L85","Altre forme di ispessimento epidermico"
"L86","Cheratodermia in malattie classificate altrove"
"L87","Disturbi dell’eliminazione transepidermica"
"L88","Pioderma gangrenoso"
"L89","Ulcera da decubito"
"L90","Disturbi atrofici della cute"
"L91","Disturbi ipertrofici della cute"
"L92","Disturbi granulomatosi della cute e del tessuto sottocutaneo"
"L93","Lupus eritematoso"
"L94","Altri disturbi localizzati del tessuto connettivo"
"L95","Vasculite limitata alla cute, non classsificata altrove"
"L97","Ulcera di arto inferiore non classificata altrove"
"L98","Altri disturbi della cute e del tessuto sottocutaneo non classificati altrove"
"L99","Altri disturbi della cute e del tessuto sottocutaneo in malattie classificate altrove"
"M00","Artrite piogenica"
"M01","Infezioni dirette delle articolazioni in malattie infettive e parassitarie classificate altrove"
"M02","Artropatie reattive"
"M03","Artropatie post infettive e reattive in malattie classificate altrove"
"M05","Artrite reumatoide sieropositiva"
"M06","Altre artriti reumatoidi"
"M07","Artropatie psoriasiche ed enteropatiche"
"M08","Artrite giovanile"
"M09","Artrite giovanile in malattie classificate altrove"
"M10","Gotta"
"M11","Altre artropatie da microcristalli"
"M12","Altre artropatie specifiche"
"M13","Altre artriti"
"M14","Artropatie in altre malattie classificate altrove"
"M15","Poliartrosi"
"M16","Coxartrosi (artrosi dell’anca)"
"M17","Gonartrosi (artrosi del ginocchio)"
"M18","Artrosi della prima articolazione carpometacarpica"
"M19","Altre artrosi"
"M20","Deformazioni acquisite delle dita della mano e del piede"
"M21","Altre deformazioni acquisite degli arti"
"M22","Disturbi della rotula"
"M23","Lesione interna del ginocchio"
"M24","Altre lesioni articolari specifiche"
"M25","Altri disturbi articolari non classificati altrove"
"M30","Panarterite nodosa e condizioni morbose correlate"
"M31","Altre vasculopatie necrotizzanti"
"M32","Lupus eritematoso sistemico"
"M33","Dermatopolimiosite"
"M34","Sclerosi sistemica"
"M35","Altro interessamento sistemico del tessuto connettivo"
"M36","Disturbi sistemici del tessuto connettivo in malattie classificate altrove"
"M40","Cifosi e lordosi"
"M41","Scoliosi"
"M42","Osteocondrosi vertebrale"
"M43","Altre dorsopatie deformanti"
"M45","Spondilite anchilosante"
"M46","Altre spondilopatie infiammatorie"
"M47","Spondilosi"
"M48","Altre spondilopatie"
"M49","Spondilopatie in malattie classificate altrove"
"M50","Disturbi dei dischi intervertebrali cervicali"
"M51","Altri disturbi dei dischi intervertebrali"
"M53","Altre dorsopatie non classificate altrove"
"M54","Dorsalgia"
"M60","Miosite"
"M61","Calcificazione ed ossificazione dei muscoli"
"M62","Altri disturbi muscolari"
"M63","Disturbi muscolari in malattie classificate altrove"
"M65","Sinovite e tenosinovite"
"M66","Rottura spontanea delle sinovie e dei tendini"
"M67","Altri disturbi delle sinovie e dei tendini"
"M68","Disturbi delle sinovie e dei tendini in malattie classificate altrove"
"M70","Malattie dei tessuti molli correlati ad uso, uso eccessivo e pressione"
