"A00","Cholera"
"B1812","Chronische Virushepatitis B ohne Delta-Virus, Phase 2"
"B1813","Chronische Virushepatitis B ohne Delta-Virus, Phase 3"
"B1814","Chronische Virushepatitis B ohne Delta-Virus, Phase 4"
"B1819","Chronische Virushepatitis B ohne Delta-Virus, Phase nicht näher bezeichnet"
"B182","Chronische Virushepatitis C"
"B188","Sonstige chronische Virushepatitis"
"B189","Chronische Virushepatitis, nicht näher bezeichnet"
"B19","Nicht näher bezeichnete Virushepatitis"
"B190","Nicht näher bezeichnete Virushepatitis mit hepatischem Koma"
"B199","Nicht näher bezeichnete Virushepatitis ohne hepatisches Koma"
"B20","Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]"
"B21","Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]"
"B22","Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]"
"B23","Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]"
"B230","Akutes HIV-Infektionssyndrom"
"B238","Sonstige näher bezeichnete Krankheitszustände infolge HIV-Krankheit"
"B24","Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]"
"B25","Zytomegalie"
"B250","Pneumonie durch Zytomegalieviren"
"B251","Hepatitis durch Zytomegalieviren"
"B252","Pankreatitis durch Zytomegalieviren"
"B258","Sonstige Zytomegalie"
"B2580","Infektion des Verdauungstraktes durch Zytomegalieviren"
"B2588","Sonstige Zytomegalie"
"B259","Zytomegalie, nicht näher bezeichnet"
"B26","Mumps"
"B260","Mumps-Orchitis"
"B261","Mumps-Meningitis"
"B262","Mumps-Enzephalitis"
"B263","Mumps-Pankreatitis"
"B268","Mumps mit sonstigen Komplikationen"
"B269","Mumps ohne Komplikation"
"B27","Infektiöse Mononukleose"
"B270","Mononukleose durch Gamma-Herpesviren"
"B271","Mononukleose durch Zytomegalieviren"
"B278","Sonstige infektiöse Mononukleose"
"B279","Infektiöse Mononukleose, nicht näher bezeichnet"
"B30","Viruskonjunktivitis"
"B300","Keratokonjunktivitis durch Adenoviren"
"B301","Konjunktivitis durch Adenoviren"
"B302","Pharyngokonjunktivalfieber (durch Viren)"
"B303","Akute epidemische hämorrhagische Konjunktivitis (durch Enteroviren)"
"B308","Sonstige Konjunktivitis durch Viren"
"B309","Konjunktivitis durch Viren, nicht näher bezeichnet"
"B33","Sonstige Viruskrankheiten, anderenorts nicht klassifiziert"
"B330","Pleurodynia epidemica"
"B331","Ross-River-Krankheit"
"B332","Karditis durch Viren"
"B333","Infektion durch Retroviren, anderenorts nicht klassifiziert"
"B334","Hantavirus- (Herz-) Lungensyndrom"
"B338","Sonstige näher bezeichnete Viruskrankheiten"
"B34","Viruskrankheit nicht näher bezeichneter Lokalisation"
"B340","Infektion durch Adenoviren nicht näher bezeichneter Lokalisation"
"B341","Infektion durch Enteroviren nicht näher bezeichneter Lokalisation"
"B342","Infektion durch Coronaviren nicht näher bezeichneter Lokalisation"
"B343","Infektion durch Parvoviren nicht näher bezeichneter Lokalisation"
"B344","Infektion durch Papovaviren nicht näher bezeichneter Lokalisation"
"B348","Sonstige Virusinfektionen nicht näher bezeichneter Lokalisation"
"B349","Virusinfektion, nicht näher bezeichnet"
"B35","Dermatophytose [Tinea]"
"B350","Tinea barbae und Tinea capitis"
"B351","Tinea unguium"
"B352","Tinea manuum"
"B353","Tinea pedis"
"B354","Tinea corporis"
"B355","Tinea imbricata"
"B356","Tinea inguinalis [Tinea cruris]"
"B358","Sonstige Dermatophytosen"
"B359","Dermatophytose, nicht näher bezeichnet"
"B36","Sonstige oberflächliche Mykosen"
"B360","Pityriasis versicolor"
"B361","Tinea nigra"
"B362","Piedra alba [weiße Piedra]"
"B363","Piedra nigra [schwarze Piedra]"
"B368","Sonstige näher bezeichnete oberflächliche Mykosen"
"B369","Oberflächliche Mykose, nicht näher bezeichnet"
"B37","Kandidose"
"B370","Candida-Stomatitis"
"B371","Kandidose der Lunge"
"B372","Kandidose der Haut und der Nägel"
"B373","Kandidose der Vulva und der Vagina"
"B374","Kandidose an sonstigen Lokalisationen des Urogenitalsystems"
"B375","Candida-Meningitis"
"B376","Candida-Endokarditis"
"B377","Candida-Sepsis"
"B378","Kandidose an sonstigen Lokalisationen"
"B3781","Candida-Ösophagitis"
"B3788","Kandidose an sonstigen Lokalisationen"
"B379","Kandidose, nicht näher bezeichnet"
"B38","Kokzidioidomykose"
"B380","Akute Kokzidioidomykose der Lunge"
"B381","Chronische Kokzidioidomykose der Lunge"
"B382","Kokzidioidomykose der Lunge, nicht näher bezeichnet"
"B383","Kokzidioidomykose der Haut"
"B384","Kokzidioidomykose der Meningen"
"B387","Disseminierte Kokzidioidomykose"
"B388","Sonstige Formen der Kokzidioidomykose"
"B389","Kokzidioidomykose, nicht näher bezeichnet"
"B39","Histoplasmose"
"B390","Akute Histoplasmose der Lunge durch Histoplasma capsulatum"
"B391","Chronische Histoplasmose der Lunge durch Histoplasma capsulatum"
"B392","Histoplasmose der Lunge durch Histoplasma capsulatum, nicht näher bezeichnet"
"B393","Disseminierte Histoplasmose durch Histoplasma capsulatum"
"B394","Histoplasmose durch Histoplasma capsulatum, nicht näher bezeichnet"
"B395","Histoplasmose durch Histoplasma duboisii"
"B399","Histoplasmose, nicht näher bezeichnet"
"B40","Blastomykose"
"B400","Akute Blastomykose der Lunge"
"B401","Chronische Blastomykose der Lunge"
"B402","Blastomykose der Lunge, nicht näher bezeichnet"
"B403","Blastomykose der Haut"
"B407","Disseminierte Blastomykose"
"B408","Sonstige Formen der Blastomykose"
"B409","Blastomykose, nicht näher bezeichnet"
"B41","Parakokzidioidomykose"
"B410","Parakokzidioidomykose der Lunge"
"B417","Disseminierte Parakokzidioidomykose"
"B418","Sonstige Formen der Parakokzidioidomykose"
"B419","Parakokzidioidomykose, nicht näher bezeichnet"
"B42","Sporotrichose"
"B420","Sporotrichose der Lunge"
"B421","Lymphokutane Sporotrichose"
"B427","Disseminierte Sporotrichose"
"B428","Sonstige Formen der Sporotrichose"
"B429","Sporotrichose, nicht näher bezeichnet"
"B43","Chromomykose und chromomykotischer Abszess"
"B430","Chromomykose der Haut"
"B431","Chromomykotischer Abszess des Gehirns"
"B432","Chromomykotische(r) Abszess und Zyste der Unterhaut"
"B438","Sonstige Formen der Chromomykose"
"B439","Chromomykose, nicht näher bezeichnet"
"B44","Aspergillose"
"B440","Invasive Aspergillose der Lunge"
"B441","Sonstige Aspergillose der Lunge"
"B442","Aspergillose der Tonsillen"
"B447","Disseminierte Aspergillose"
"B448","Sonstige Formen der Aspergillose"
"B449","Aspergillose, nicht näher bezeichnet"
"B45","Kryptokokkose"
"B450","Kryptokokkose der Lunge"
"B451","Kryptokokkose des Gehirns"
"B452","Kryptokokkose der Haut"
"B453","Kryptokokkose der Knochen"
"B457","Disseminierte Kryptokokkose"
"B458","Sonstige Formen der Kryptokokkose"
"B459","Kryptokokkose, nicht näher bezeichnet"
"B46","Zygomykose"
"B460","Mukormykose der Lunge"
"B461","Rhinozerebrale Mukormykose"
"B462","Mukormykose des Magen-Darm-Trakts"
"B463","Mukormykose der Haut"
"B464","Disseminierte Mukormykose"
"B465","Mukormykose, nicht näher bezeichnet"
"B468","Sonstige Formen der Zygomykose"
"B469","Zygomykose, nicht näher bezeichnet"
"B47","Myzetom"
"B470","Eumyzetom"
"B471","Aktinomyzetom"
"B479","Myzetom, nicht näher bezeichnet"
"B48","Sonstige Mykosen, anderenorts nicht klassifiziert"
"B480","Lobomykose"
"B481","Rhinosporidiose"
"B482","Allescheriose"
"B483","Geotrichose"
"B484","Penizilliose"
"B485","Pneumozystose"
"B487","Mykosen durch opportunistisch-pathogene Pilze"
"B488","Sonstige näher bezeichnete Mykosen"
"B49","Nicht näher bezeichnete Mykose"
"B50","Malaria tropica durch Plasmodium falciparum"
"B500","Malaria tropica mit zerebralen Komplikationen"
"B508","Sonstige schwere Formen oder Komplikationen der Malaria tropica"
"B509","Malaria tropica, nicht näher bezeichnet"
"B51","Malaria tertiana durch Plasmodium vivax"
"B510","Malaria tertiana mit Milzruptur"
"B518","Malaria tertiana mit sonstigen Komplikationen"
"B519","Malaria tertiana ohne Komplikation"
"B52","Malaria quartana durch Plasmodium malariae"
"B520","Malaria quartana mit Nephropathie"
"B528","Malaria quartana mit sonstigen Komplikationen"
"B529","Malaria quartana ohne Komplikation"
"B53","Sonstige parasitologisch bestätigte Malaria"
"B530","Malaria durch Plasmodium ovale"
"B531","Malaria durch Affen-Plasmodien"
"B538","Sonstige parasitologisch bestätigte Malaria, anderenorts nicht klassifiziert"
"B54","Malaria, nicht näher bezeichnet"
"B55","Leishmaniose"
"B550","Viszerale Leishmaniose"
"B551","Kutane Leishmaniose"
"B552","Mukokutane Leishmaniose"
"B559","Leishmaniose, nicht näher bezeichnet"
"B56","Afrikanische Trypanosomiasis"
"B560","Trypanosomiasis gambiensis"
"B561","Trypanosomiasis rhodesiensis"
"B569","Afrikanische Trypanosomiasis, nicht näher bezeichnet"
"B57","Chagas-Krankheit"
"B570","Akute Chagas-Krankheit mit Herzbeteiligung"
"B571","Akute Chagas-Krankheit ohne Herzbeteiligung"
"B572","Chagas-Krankheit (chronisch) mit Herzbeteiligung"
"B573","Chagas-Krankheit (chronisch) mit Beteiligung des Verdauungssystems"
"B574","Chagas-Krankheit (chronisch) mit Beteiligung des Nervensystems"
"B575","Chagas-Krankheit (chronisch) mit Beteiligung sonstiger Organe"
"B58","Toxoplasmose"
"B580","Augenerkrankung durch Toxoplasmen"
"B581","Hepatitis durch Toxoplasmen"
"B582","Meningoenzephalitis durch Toxoplasmen"
"B583","Toxoplasmose der Lunge"
"B588","Toxoplasmosen mit Beteiligung sonstiger Organe"
"B589","Toxoplasmose, nicht näher bezeichnet"
"B60","Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert"
"B600","Babesiose"
"B601","Akanthamöbiasis"
"B602","Naegleriainfektion"
"B608","Sonstige näher bezeichnete Protozoenkrankheiten"
"B64","Nicht näher bezeichnete Protozoenkrankheit"
"B65","Schistosomiasis [Bilharziose]"
"B650","Schistosomiasis durch Schistosoma haematobium [Blasenbilharziose]"
"B651","Schistosomiasis durch Schistosoma mansoni [Darmbilharziose]"
"B652","Schistosomiasis durch Schistosoma japonicum"
"B653","Zerkariendermatitis"
"B658","Sonstige Formen der Schistosomiasis"
"B659","Schistosomiasis, nicht näher bezeichnet"
"B66","Befall durch sonstige Trematoden [Egel]"
"B660","Opisthorchiasis"
"B661","Clonorchiasis"
"B662","Dicrocoeliasis"
"B663","Fascioliasis"
"B664","Paragonimiasis"
"B665","Fasciolopsiasis"
"B668","Befall durch sonstige näher bezeichnete Trematoden"
"B669","Trematodenbefall, nicht näher bezeichnet"
"B67","Echinokokkose"
"B670","Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Leber"
"B671","Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Lunge"
"B672","Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Knochen"
"B673","Echinococcus-granulosus-Infektion [zystische Echinokokkose] an mehreren und sonstigen Lokalisationen"
"B674","Echinococcus-granulosus-Infektion [zystische Echinokokkose], nicht näher bezeichnet"
"B675","Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] der Leber"
"B676","Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] an mehreren und sonstigen Lokalisationen"
"B677","Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose], nicht näher bezeichnet"
"B678","Nicht näher bezeichnete Echinokokkose der Leber"
"B679","Sonstige und nicht näher bezeichnete Echinokokkose"
"B68","Taeniasis"
"B680","Befall durch Taenia solium"
"B681","Befall durch Taenia saginata"
"B689","Taeniasis, nicht näher bezeichnet"
"B69","Zystizerkose"
"B690","Zystizerkose des Zentralnervensystems"
"B691","Zystizerkose der Augen"
"B698","Zystizerkose an sonstigen Lokalisationen"
"B699","Zystizerkose, nicht näher bezeichnet"
"B70","Diphyllobothriose und Sparganose"
"B700","Diphyllobothriose"
"B701","Sparganose"
"B71","Befall durch sonstige Zestoden"
"B710","Hymenolepiasis"
"B711","Dipylidiose"
"B718","Sonstige näher bezeichnete Zestodeninfektionen"
"B719","Zestodeninfektion, nicht näher bezeichnet"
"B72","Drakunkulose"
"B73","Onchozerkose"
"B74","Filariose"
"B740","Filariose durch Wuchereria bancrofti"
"B741","Filariose durch Brugia malayi"
"B742","Filariose durch Brugia timori"
"B743","Loiasis"
"B744","Mansonelliasis"
"B748","Sonstige Filariose"
"B749","Filariose, nicht näher bezeichnet"
"B75","Trichinellose"
"B76","Hakenwurm-Krankheit"
"B760","Ankylostomiasis"
"B761","Nekatoriasis"
"B768","Sonstige Hakenwurm-Krankheiten"
"B769","Hakenwurm-Krankheit, nicht näher bezeichnet"
"B77","Askaridose"
"B770","Askaridose mit intestinalen Komplikationen"
"B778","Askaridose mit sonstigen Komplikationen"
"B779","Askaridose, nicht näher bezeichnet"
"B78","Strongyloidiasis"
"B780","Strongyloidiasis des Darmes"
"B781","Strongyloidiasis der Haut"
"B787","Disseminierte Strongyloidiasis"
"B789","Strongyloidiasis, nicht näher bezeichnet"
"B79","Trichuriasis"
"B80","Enterobiasis"
"B81","Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert"
"B810","Anisakiasis"
"B811","Intestinale Kapillariasis"
"B812","Trichostrongyliasis"
"B813","Intestinale Angiostrongyliasis"
"B814","Mischformen intestinaler Helminthosen"
"B818","Sonstige näher bezeichnete intestinale Helminthosen"
"B82","Nicht näher bezeichneter intestinaler Parasitismus"
"B820","Intestinale Helminthose, nicht näher bezeichnet"
"B829","Intestinaler Parasitismus, nicht näher bezeichnet"
"B83","Sonstige Helminthosen"
"B830","Larva migrans visceralis"
"B831","Gnathostomiasis"
"B832","Angiostrongyliasis durch Parastrongylus cantonensis"
"B833","Syngamiasis"
"B834","Hirudiniasis interna"
"B838","Sonstige näher bezeichnete Helminthosen"
"B839","Helminthose, nicht näher bezeichnet"
"B85","Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall]"
"B850","Pedikulose durch Pediculus humanus capitis"
"B851","Pedikulose durch Pediculus humanus corporis"
"B852","Pedikulose, nicht näher bezeichnet"
"B853","Phthiriasis [Filzläusebefall]"
"B854","Mischformen von Pedikulose und Phthiriasis"
"B86","Skabies"
"B87","Myiasis"
"B870","Dermatomyiasis"
"B871","Wundmyiasis"
"B872","Ophthalmomyiasis"
"B873","Nasopharyngeale Myiasis"
"B874","Otomyiasis"
"B878","Myiasis an sonstigen Lokalisationen"
"B879","Myiasis, nicht näher bezeichnet"
"B88","Sonstiger Parasitenbefall der Haut"
"B880","Sonstige Akarinose [Milbenbefall]"
"B881","Tungiasis [Sandflohbefall]"
"B882","Sonstiger Befall durch Arthropoden"
"B883","Hirudiniasis externa"
"B888","Sonstiger näher bezeichneter Parasitenbefall der Haut"
"B889","Parasitenbefall der Haut, nicht näher bezeichnet"
"B89","Nicht näher bezeichnete parasitäre Krankheit"
"B90","Folgezustände der Tuberkulose"
"B900","Folgezustände einer Tuberkulose des Zentralnervensystems"
"B901","Folgezustände einer Tuberkulose des Urogenitalsystems"
"B902","Folgezustände einer Tuberkulose der Knochen und der Gelenke"
"B908","Folgezustände einer Tuberkulose sonstiger Organe"
"B909","Folgezustände einer Tuberkulose der Atmungsorgane und einer nicht näher bezeichneten Tuberkulose"
"B91","Folgezustände der Poliomyelitis"
"B92","Folgezustände der Lepra"
"B94","Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten"
"B940","Folgezustände des Trachoms"
"B941","Folgezustände der Virusenzephalitis"
"B942","Folgezustände der Virushepatitis"
"B948","Folgezustände sonstiger näher bezeichneter infektiöser und parasitärer Krankheiten"
"B949","Folgezustände nicht näher bezeichneter infektiöser oder parasitärer Krankheit"
"B95","Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B950","Streptokokken, Gruppe A, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B951","Streptokokken, Gruppe B, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B952","Streptokokken, Gruppe D, und Enterokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B953","Streptococcus pneumoniae als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B954","Sonstige Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B9541","Streptokokken, Gruppe C, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B9542","Streptokokken, Gruppe G, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B9548","Sonstige näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B955","Nicht näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B956","Staphylococcus aureus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B957","Sonstige Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B958","Nicht näher bezeichnete Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B959","Sonstige näher bezeichnete grampositive Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B9590","Sonstige näher bezeichnete grampositive aerobe Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B9591","Sonstige näher bezeichnete grampositive anaerobe, nicht sporenbildende Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B96","Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B960","Mykoplasmen und Ureaplasmen als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B962","Escherichia coli [E. coli] und andere Enterobacterales als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B963","Haemophilus und Moraxella als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B965","Pseudomonas und andere Nonfermenter als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B966","Bacteroides fragilis [B. fragilis] und andere gramnegative Anaerobier als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
"B967","Clostridium perfringens [C. perfringens] und andere grampositive, sporenbildende Anaerobier als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind"
